,accuracy_gray_16,precision_gray_16,recall_gray_16,accuracy_gray_32,precision_gray_32,recall_gray_32,accuracy_gray_64,precision_gray_64,recall_gray_64,accuracy_gray_8,precision_gray_8,recall_gray_8,num_trees
0,0.7483870967741936,0.7263157894736842,0.8414634146341463,0.7032258064516129,0.7115384615384616,0.8222222222222222,0.7225806451612903,0.719626168224299,0.8555555555555555,0.7666666666666667,0.7683722654801632,0.7666666666666667,100
1,0.6967741935483871,0.6804123711340206,0.8048780487804879,0.7161290322580646,0.7129629629629629,0.8555555555555555,0.7290322580645161,0.7142857142857143,0.8888888888888888,0.775,0.777541074909496,0.775,120
2,0.7096774193548387,0.6907216494845361,0.8170731707317073,0.7419354838709677,0.7358490566037735,0.8666666666666667,0.7225806451612903,0.7117117117117117,0.8777777777777778,0.775,0.777541074909496,0.775,140
3,0.7096774193548387,0.6868686868686869,0.8292682926829268,0.7290322580645161,0.7181818181818181,0.8777777777777778,0.7225806451612903,0.7117117117117117,0.8777777777777778,0.7916666666666666,0.7918634805964619,0.7916666666666666,160
4,0.7419354838709677,0.71875,0.8414634146341463,0.7290322580645161,0.7181818181818181,0.8777777777777778,0.7290322580645161,0.7181818181818181,0.8777777777777778,0.7583333333333333,0.7593822358062425,0.7583333333333333,180
5,0.7161290322580646,0.6979166666666666,0.8170731707317073,0.7354838709677419,0.7247706422018348,0.8777777777777778,0.7354838709677419,0.7247706422018348,0.8777777777777778,0.7666666666666667,0.7672222222222221,0.7666666666666667,200
6,0.7225806451612903,0.7010309278350515,0.8292682926829268,0.7290322580645161,0.7181818181818181,0.8777777777777778,0.7419354838709677,0.7272727272727273,0.8888888888888888,0.7666666666666667,0.7672222222222221,0.7666666666666667,220
7,0.7096774193548387,0.6947368421052632,0.8048780487804879,0.7354838709677419,0.7207207207207207,0.8888888888888888,0.7354838709677419,0.7247706422018348,0.8777777777777778,0.7583333333333333,0.7585394090951191,0.7583333333333333,240
8,0.7161290322580646,0.7021276595744681,0.8048780487804879,0.7354838709677419,0.7247706422018348,0.8777777777777778,0.7419354838709677,0.7314814814814815,0.8777777777777778,0.7583333333333333,0.7585394090951191,0.7583333333333333,260
9,0.7225806451612903,0.7052631578947368,0.8170731707317073,0.7419354838709677,0.7314814814814815,0.8777777777777778,0.7354838709677419,0.7207207207207207,0.8888888888888888,0.7583333333333333,0.7585394090951191,0.7583333333333333,280
